类别,count
内置程序,39798
性能赛道,23738
续航赛道,8283
外观设计,4529
发热赛道,4077
内置程序_x0000_,1170
第三方程序,1100
触控,992
外观体验,980
配件赠送,913
系统流畅性,773
无线网络,708
升级,633
音频,633
屏裂,594
性能赛道_x0000_,492
充电与电池,396
拍照,376
外观设计_x0000_,356
显示,347
通话,326
内存存储,311
移动网络赛道,301
屏幕,262
生物识别1,234
保护膜,202
整体评价,200
SIM卡与TF卡,175
屏裂_x0000_,166
系统整体感受,164
续航赛道_x0000_,160
外观材料可靠性,159
传感器,156
发热赛道_x0000_,155
外观体验_x0000_,144
第三方程序_x0000_,125
外观结构可靠性,116
触控_x0000_,116
配件赠送_x0000_,98
系统稳定性,93
硬件配置,81
整体评价_x0000_,72
拍照_x0000_,70
显示_x0000_,69
USB线,65
保护套,63
系统流畅性_x0000_,59
无线网络_x0000_,56
屏幕_x0000_,55
充电与电池_x0000_,44
第三方广告,43
通话_x0000_,41
保护膜_x0000_,41
物理安全,38
移动网络赛道_x0000_,33
闪光灯/手电筒,31
振动,30
USB连接,30
音频_x0000_,27
按键,27
升级_x0000_,27
外观结构可靠性_x0000_,21
内存存储_x0000_,21
防水防尘,20
外观材料可靠性_x0000_,20
电池盖裂,17
压感按键,16
耳机插孔,15
配件-耳机,14
保护套_x0000_,12
远程协助,11
生物识别1_x0000_,10
传感器_x0000_,9
系统稳定性_x0000_,8
SIM卡与TF卡_x0000_,8
多设备互联_x0000_,8
主芯片,7
多设备互联,6
生物识别,6
硬件配置_x0000_,5
摄像头,5
系统整体感受_x0000_,5
USB连接_x0000_,5
ROOT,5
HDMI,4
振动_x0000_,4
物理安全_x0000_,4
第三方广告_x0000_,3
系统安全,3
USB线_x0000_,3
按键_x0000_,2
LED灯/指示灯,2
防水防尘_x0000_,1
摄像头_x0000_,1
电池盖裂_x0000_,1
包装,1
